# Datafile created by QuickNXS 2.0.44
# Datafile created using Mantid 4.2.0
# Date: 2020-11-22 12:30:19
# Type: Specular
# Input file indices: 32700,32705,32706
# Extracted states: +
#
# [Direct Beam Runs]
#    DB_ID        P0        PN     x_pos   x_width     y_pos   y_width    bg_pos  bg_width      dpix       tth    number      File
#        1         0         0     195.5        11     127.6     104.7      39.8      38.5       195         0     32628  /SNS/REF_M/IPTS-23176/nexus/REF_M_32628.nxs.h5
#        2         0         0     196.5        11       128     104.1      39.8      38.5       195         0     32629  /SNS/REF_M/IPTS-23176/nexus/REF_M_32629.nxs.h5
#        3         0         0     198.5        11       128     104.1      39.1      43.2       195         0     32630  /SNS/REF_M/IPTS-23176/nexus/REF_M_32630.nxs.h5
#
# [Data Runs]
#    scale        P0        PN     x_pos   x_width     y_pos   y_width    bg_pos  bg_width       fan      dpix       tth    number     DB_ID      File
#  24.1432         3        12     157.5        11     117.5        29     160.4      28.2     False       195  0.000466906     32700         1  /SNS/REF_M/IPTS-23176/nexus/REF_M_32700.nxs.h5
#   8.1444         0        10     159.5      13.9     125.2      37.5     139.8      66.1     False       195   1.02439     32705         2  /SNS/REF_M/IPTS-23176/nexus/REF_M_32705.nxs.h5
#   9.0611         1        36     161.1        13     130.4      41.5     160.5      44.9     False       195   3.76746     32706         3  /SNS/REF_M/IPTS-23176/nexus/REF_M_32706.nxs.h5
#
# [Global Options]
# name           value
# sample_length  20.0
#
# [Data]
#     Qz [1/A]	    R [a.u.]	   dR [a.u.]	   dQz [1/A]
9.344217e-03       9.805779e-01       9.869102e-02       2.141486e-04
9.577822e-03       1.019619e+00       9.568072e-02       2.197386e-04
9.817268e-03       9.680572e-01       8.689219e-02       2.254863e-04
1.006270e-02       1.077074e+00       8.553933e-02       2.313968e-04
1.031427e-02       1.053279e+00       7.996729e-02       2.374758e-04
1.057212e-02       1.040148e+00       7.611640e-02       2.437289e-04
1.083643e-02       1.038659e+00       7.269113e-02       2.501623e-04
1.110734e-02       1.040764e+00       6.849231e-02       2.567821e-04
1.138502e-02       1.071399e+00       6.641861e-02       2.635950e-04
1.166965e-02       1.027593e+00       6.276795e-02       2.706078e-04
1.196139e-02       1.051770e+00       5.983204e-02       2.778277e-04
1.226042e-02       1.037123e+00       5.872355e-02       2.852622e-04
1.256693e-02       9.777272e-01       5.416317e-02       2.929193e-04
1.288111e-02       9.777866e-01       5.379465e-02       3.008072e-04
1.320313e-02       9.580227e-01       5.234743e-02       3.089345e-04
1.353321e-02       1.001815e+00       4.936027e-02       3.173104e-04
1.387154e-02       1.008117e+00       4.654534e-02       3.259443e-04
1.421833e-02       1.019461e+00       4.476068e-02       3.348464e-04
1.457379e-02       9.993847e-01       4.372428e-02       3.440271e-04
1.493813e-02       9.091570e-01       4.117285e-02       3.534975e-04
1.531159e-02       8.852347e-01       4.099835e-02       3.632691e-04
1.569438e-02       8.322085e-01       3.937380e-02       3.733542e-04
1.608674e-02       8.651542e-01       3.954002e-02       3.837656e-04
1.648891e-02       7.950536e-01       3.786508e-02       3.945168e-04
