# Datafile created by QuickNXS 2.0.44
# Datafile created using Mantid 4.2.0
# Date: 2020-11-22 12:30:19
# Type: Specular
# Input file indices: 32700,32705,32706
# Extracted states: -
#
# [Direct Beam Runs]
#    DB_ID        P0        PN     x_pos   x_width     y_pos   y_width    bg_pos  bg_width      dpix       tth    number      File
#        1         0         0     195.5        11     127.6     104.7      39.8      38.5       195         0     32628  /SNS/REF_M/IPTS-23176/nexus/REF_M_32628.nxs.h5
#        2         0         0     196.5        11       128     104.1      39.8      38.5       195         0     32629  /SNS/REF_M/IPTS-23176/nexus/REF_M_32629.nxs.h5
#        3         0         0     198.5        11       128     104.1      39.1      43.2       195         0     32630  /SNS/REF_M/IPTS-23176/nexus/REF_M_32630.nxs.h5
#
# [Data Runs]
#    scale        P0        PN     x_pos   x_width     y_pos   y_width    bg_pos  bg_width       fan      dpix       tth    number     DB_ID      File
#  24.1432         3        12     157.5        11     117.5        29     160.4      28.2     False       195  0.000466906     32700         1  /SNS/REF_M/IPTS-23176/nexus/REF_M_32700.nxs.h5
#   8.1444         0        10     159.5      13.9     125.2      37.5     139.8      66.1     False       195   1.02439     32705         2  /SNS/REF_M/IPTS-23176/nexus/REF_M_32705.nxs.h5
#   9.0611         1        36     161.1        13     130.4      41.5     160.5      44.9     False       195   3.76746     32706         3  /SNS/REF_M/IPTS-23176/nexus/REF_M_32706.nxs.h5
#
# [Global Options]
# name           value
# sample_length  20.0
#
# [Data]
#     Qz [1/A]	    R [a.u.]	   dR [a.u.]	   dQz [1/A]
9.344217e-03       9.916255e-01       9.890596e-02       2.141628e-04
9.577822e-03       9.948035e-01       9.418635e-02       2.197531e-04
9.817268e-03       1.024809e+00       8.944110e-02       2.255011e-04
1.006270e-02       1.087907e+00       8.596694e-02       2.314120e-04
1.031427e-02       9.942005e-01       7.762531e-02       2.374913e-04
1.057212e-02       1.011111e+00       7.456535e-02       2.437449e-04
1.083643e-02       1.008565e+00       7.131256e-02       2.501786e-04
1.110734e-02       1.095389e+00       7.022247e-02       2.567988e-04
1.138502e-02       9.999339e-01       6.400890e-02       2.636121e-04
1.166965e-02       1.016821e+00       6.227795e-02       2.706253e-04
1.196139e-02       9.743214e-01       5.781902e-02       2.778456e-04
1.226042e-02       9.698047e-01       5.669459e-02       2.852805e-04
1.256693e-02       9.576366e-01       5.359382e-02       2.929380e-04
1.288111e-02       9.322542e-01       5.267205e-02       3.008263e-04
1.320313e-02       9.838057e-01       5.298709e-02       3.089541e-04
1.353321e-02       9.704438e-01       4.858923e-02       3.173304e-04
1.387154e-02       9.483979e-01       4.518083e-02       3.259649e-04
1.421833e-02       9.720818e-01       4.362137e-02       3.348674e-04
1.457379e-02       9.243813e-01       4.202330e-02       3.440486e-04
1.493813e-02       8.459636e-01       3.956354e-02       3.535194e-04
1.531159e-02       8.145707e-01       3.933010e-02       3.632915e-04
1.569438e-02       8.179843e-01       3.902713e-02       3.733771e-04
1.608674e-02       7.811062e-01       3.750588e-02       3.837890e-04
1.648891e-02       6.878712e-01       3.515191e-02       3.945408e-04
1.690113e-02       6.801936e-01       3.604202e-02       4.056465e-04
1.732366e-02       5.981500e-01       3.432680e-02       4.171213e-04
1.775675e-02       5.250436e-01       3.256898e-02       4.289807e-04
1.820067e-02       4.624752e-01       3.017416e-02       4.412415e-04
1.865568e-02       3.610210e-01       2.682094e-02       4.539210e-04
1.912207e-02       2.973819e-01       2.410827e-02       4.670376e-04
1.960013e-02       2.513237e-01       2.205154e-02       4.806108e-04
2.009013e-02       1.879626e-01       1.920812e-02       4.946610e-04
2.059238e-02       1.267639e-01       1.540650e-02       5.092097e-04
2.110719e-02       8.956279e-02       1.324022e-02       5.242796e-04
2.163487e-02       7.717548e-02       3.675413e-03       5.146380e-04
2.217574e-02       5.295375e-02       2.631917e-03       5.279527e-04
2.273014e-02       3.493476e-02       8.748627e-03       5.728627e-04
2.329839e-02       2.212012e-02       1.545805e-03       5.556948e-04
2.388085e-02       2.213003e-02       6.877539e-03       6.083329e-04
2.447787e-02       1.619631e-02       1.154909e-03       5.850010e-04
2.508982e-02       2.004775e-02       1.194864e-03       6.002729e-04
2.571706e-02       2.304298e-02       1.215548e-03       6.159755e-04
2.635999e-02       2.518149e-02       1.202596e-03       6.321233e-04
2.701899e-02       2.756299e-02       1.189882e-03       6.487314e-04
2.769447e-02       2.946811e-02       1.163834e-03       6.658155e-04
2.838683e-02       3.045258e-02       1.127097e-03       6.833920e-04
2.909650e-02       2.843566e-02       1.047171e-03       7.014781e-04
2.982391e-02       2.742453e-02       9.888025e-04       7.200918e-04
3.056951e-02       2.467586e-02       9.037576e-04       7.392519e-04
3.133375e-02       2.271186e-02       8.448643e-04       7.589780e-04
3.211709e-02       1.806092e-02       7.355157e-04       7.792907e-04
3.292002e-02       1.392450e-02       6.300295e-04       8.002116e-04
3.374302e-02       1.019489e-02       5.072616e-04       8.217632e-04
3.458659e-02       7.357399e-03       4.110051e-04       8.439694e-04
3.545126e-02       5.006443e-03       3.284339e-04       8.668549e-04
3.633754e-02       2.819755e-03       2.451946e-04       8.904458e-04
3.724598e-02       1.343588e-03       1.752934e-04       9.147696e-04
3.817713e-02       7.034197e-04       1.317047e-04       9.398549e-04
3.913156e-02       1.384234e-04       8.401738e-05       9.657320e-04
4.010984e-02       4.618378e-04       1.095264e-04       9.924326e-04
4.111259e-02       7.679466e-04       1.317915e-04       1.019990e-03
4.214041e-02       1.038593e-03       1.488223e-04       1.048440e-03
4.319392e-02       1.347203e-03       1.683090e-04       1.077818e-03
4.427376e-02       1.396890e-03       1.782274e-04       1.108164e-03
4.538061e-02       1.463688e-03       1.840909e-04       1.139519e-03
